timestamp,conversation,bt_level_avg,bt_level_std,bt_total_devices_around,bt_total_far,bt_total_farther,bt_total_near,bt_total_nearer,wifi_level_avg,wifi_level_std,wifi_total_devices_around,wifi_total_far,wifi_total_near,wifi_total_nearer,phone_in_dark,phone_charging,phone_locked,activity_inference_0,activity_inference_1,activity_inference_2,activity_inference_3,audio_inference_0,audio_inference_1,audio_inference_2,audio_inference_3
2013-03-27 04:00:00,0.0,-94.0,,1.0,0.0,1.0,0.0,0.0,-82.44444444444444,2.8916026084559867,4.0,3.0,1.0,0.0,0.0,0.0,0.0,547.0,0.0,0.0,0.0,276.0,174.0,10.0,87
2013-03-27 04:10:00,0.0,,,,,,,,-83.6842105263158,3.9739650785926757,5.0,4.0,1.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,332.0,248.0,20.0,0
2013-03-27 04:20:00,0.0,-93.0,,1.0,0.0,1.0,0.0,0.0,-83.72972972972973,3.7698614603669567,6.0,5.0,2.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,451.0,148.0,1.0,0
2013-03-27 04:30:00,0.0,,,,,,,,-81.76315789473684,3.824328041638238,5.0,5.0,3.0,0.0,379.0,0.0,363.0,600.0,0.0,0.0,0.0,334.0,246.0,20.0,0
2013-03-27 04:40:00,223.0,,,,,,,,-80.92307692307692,3.8139677114020096,4.0,3.0,3.0,0.0,600.0,0.0,600.0,600.0,0.0,0.0,0.0,56.0,253.0,291.0,0
2013-03-27 04:50:00,81.0,,,,,,,,-79.71052631578948,5.18879019907081,4.0,2.0,3.0,0.0,600.0,0.0,600.0,600.0,0.0,0.0,0.0,552.0,29.0,19.0,0
2013-03-27 05:00:00,0.0,,,,,,,,-80.02631578947368,5.327720566747876,4.0,2.0,3.0,0.0,600.0,0.0,600.0,600.0,0.0,0.0,0.0,599.0,1.0,0.0,0
2013-03-27 05:10:00,0.0,,,,,,,,-79.84210526315789,5.4365850301429655,4.0,1.0,3.0,0.0,600.0,0.0,600.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0
2013-03-27 05:20:00,0.0,-96.0,,1.0,0.0,1.0,0.0,0.0,-79.73684210526316,5.219834350437261,4.0,2.0,3.0,0.0,600.0,0.0,600.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0
2013-03-27 05:30:00,0.0,,,,,,,,-79.60526315789474,5.239242315557422,4.0,1.0,3.0,0.0,600.0,0.0,600.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0
2013-03-27 05:40:00,0.0,,,,,,,,-79.02631578947368,5.252522013283972,4.0,1.0,3.0,0.0,600.0,0.0,600.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0
2013-03-27 05:50:00,0.0,,,,,,,,-79.65789473684211,5.483084502275392,4.0,1.0,3.0,0.0,600.0,0.0,600.0,600.0,0.0,0.0,0.0,599.0,1.0,0.0,0
2013-03-27 06:00:00,0.0,-91.0,,1.0,0.0,1.0,0.0,0.0,-79.57894736842105,4.914316408294822,4.0,1.0,3.0,0.0,600.0,0.0,600.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0
2013-03-27 06:10:00,0.0,,,,,,,,-79.78947368421052,5.714811517426105,4.0,1.0,3.0,0.0,600.0,0.0,600.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0
2013-03-27 06:20:00,0.0,,,,,,,,-79.97368421052632,5.352680004022484,4.0,2.0,3.0,0.0,600.0,0.0,600.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0
2013-03-27 06:30:00,0.0,,,,,,,,-79.94736842105263,5.312754625984974,4.0,1.0,3.0,0.0,600.0,0.0,600.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0
